1,99.3,85.7,69.3,40.7,24.3,15.7,62.9
2,94.3,63.6,45.7,20.7,9.3,3.6,14.3
3,85.0,52.9,25.7,12.1,7.9,2.9,11.4
4,79.3,47.1,15.0,9.3,2.1,0.7,2.9
5,64.3,33.6,6.4,5.0,2.1,0.0,0.0
6,62.9,30.0,10.0,2.1,1.4,0.7,2.9
7,60.7,19.3,7.1,2.1,0.7,0.7,2.9
8,48.6,9.3,5.7,3.6,2.1,0.7,2.9
9,51.4,5.0,2.9,0.7,0.0,0.0,0.0
10,39.3,16.4,5.7,0.7,0.0,0.0,0.0
11,37.1,15.7,5.7,2.9,0.0,0.0,0.0
12,35.7,15.0,0.7,0.0,0.0,0.0,0.0
13,20.7,4.3,0.0,0.0,0.0,0.0,0.0
14,15.0,1.4,0.0,0.0,0.0,0.0,0.0
15,5.7,0.7,0.0,0.0,0.0,0.0,0.0
16,0.7,0.0,0.0,0.0,0.0,0.0,0.0
